id,category,name,price,date_added
3605,Automotive,Concrete Tuna,1155.23,2023-01-29
4555,Automotive,New Bike,1306.87,2024-05-31
5810,Automotive,Steel Mouse,2091.32,2023-12-08
2400,Automotive,Awesome Computer,582.82,2024-03-27
6894,Automotive,Fantastic Sausages,639.02,2024-06-17
3364,Automotive,Plastic Computer,1785.75,2025-03-25
6832,Automotive,Intelligent Granite Ball,911.48,2025-07-05
5314,Automotive,Tasty Soft Table,1893.57,2023-08-11
892,Automotive,Sleek Soft Pants,1939.54,2024-02-12
3004,Automotive,Intelligent Frozen Cheese,439.75,2023-05-21
2157,Automotive,Rubber Car,1131.24,2024-11-13
1047,Automotive,Incredible Plastic Pants,1341.9,2023-09-05
5947,Automotive,Intelligent Cotton Chicken,918.8,2025-04-16
4451,Automotive,Unbranded Mouse,2051.2,2023-01-24
2238,Automotive,Sleek Wooden Table,2085.88,2024-08-20
3024,Automotive,Granite Car,885.69,2025-07-13
742,Automotive,Soft Gloves,856.04,2024-01-04
2098,Automotive,Granite Chicken,1573.92,2025-04-06
3192,Automotive,Rustic Cheese,1068.65,2025-06-06
1237,Automotive,Granite Soap,1757.64,2024-05-30
2234,Automotive,For repair Cotton Sausages,310.83,2024-03-08
2304,Automotive,Practical Chips,2055.9,2025-04-02
5364,Automotive,Handmade Frozen Sausages,116.14,2025-04-20
7799,Automotive,Plastic Car,2223.95,2025-06-02
4949,Automotive,Rustic Chips,120.65,2025-06-24
4946,Automotive,Frozen Shirt,1673.23,2024-09-18
8612,Automotive,Used Concrete Gloves,2270.15,2023-12-20
3988,Automotive,Concrete Chips,1225.84,2023-04-28
8385,Automotive,Concrete Fish,1060.21,2024-12-13
6930,Automotive,For repair Salad,1413.14,2024-09-06
4770,Automotive,Licensed Gloves,2103.26,2025-01-26
1749,Automotive,Licensed Plastic Bacon,964.05,2023-01-29
5797,Automotive,Granite Pants,140.05,2023-10-08
6506,Automotive,Used Salad,2316.82,2024-11-10
8874,Automotive,Handcrafted Cheese,297.77,2024-05-02
5962,Automotive,Cotton Computer,1883.82,2023-08-29
1993,Automotive,Generic Steel Pizza,1458.51,2023-11-11
285,Automotive,Metal Car,498.31,2024-10-02
9333,Automotive,New Bacon,1564.83,2023-04-05
2080,Automotive,Licensed Wooden Hat,1247.79,2023-05-31
8120,Automotive,Licensed Plastic Hat,1847.89,2023-06-27
5867,Automotive,Licensed Chair,934.37,2025-03-02
599,Automotive,Gorgeous Metal Chair,2161.19,2023-08-28
1362,Automotive,Steel Shirt,667.58,2024-08-13
4079,Automotive,Incredible Fresh Chair,983.76,2024-10-29
7651,Automotive,Small Granite Fish,1839.5,2024-11-02
2086,Automotive,Fresh Chair,1363.64,2023-06-30
8454,Automotive,Awesome Soft Fish,1683.63,2024-08-29
2189,Automotive,Rubber Pizza,1599.74,2025-02-12
1689,Automotive,Generic Towels,1789.78,2023-06-26
5312,Automotive,Practical Metal Mouse,926.45,2024-11-27
9720,Automotive,Incredible Steel Soap,1585.36,2023-02-04
8689,Automotive,Fresh Pizza,2133.42,2024-04-29
2845,Automotive,Handmade Steel Computer,250.08,2024-08-24
2065,Automotive,Incredible Ball,2363.57,2023-03-04
194,Automotive,Cotton Pants,2262.12,2023-03-25
5118,Automotive,Intelligent Wooden Car,2005.5,2025-03-23
8762,Baby,Intelligent Plastic Salad,560.87,2025-01-18
2467,Baby,Gorgeous Soap,1815.84,2025-07-05
4332,Baby,Generic Chair,764.06,2024-05-24
2171,Baby,Unbranded Hat,1791.2,2024-07-13
4106,Baby,Intelligent Pants,2445.79,2025-04-08
2054,Baby,Unbranded Hat,1454.69,2025-07-16
7552,Baby,Refined Frozen Fish,2003.35,2024-11-07
2940,Baby,Gently Used Chair,328.24,2023-06-25
6399,Baby,Soft Bacon,1328.43,2025-01-05
3727,Baby,Fresh Table,1976.17,2023-10-25
2784,Baby,Plastic Tuna,685.93,2024-11-22
1593,Baby,Ergonomic Wooden Hat,709.59,2023-02-02
6759,Baby,Refined Concrete Cheese,547.52,2023-02-06
3031,Baby,Fantastic Bike,2418.84,2024-08-19
5582,Baby,Gorgeous Soft Soap,1031.59,2023-09-29
3381,Baby,Used Wooden Bacon,1890.44,2025-02-01
6664,Baby,Cotton Computer,528.87,2024-05-29
9270,Baby,Generic Concrete Mouse,2313.88,2024-05-05
5488,Baby,Ergonomic Frozen Salad,2030.4,2024-06-10
4986,Baby,Wooden Hat,28.76,2023-12-17
4116,Baby,Used Fresh Keyboard,2068.42,2024-06-29
5157,Baby,Licensed Steel Salad,842.91,2023-08-16
2839,Baby,Unbranded Ball,1304.46,2023-05-06
1007,Baby,Refined Table,51.06,2024-04-02
4190,Baby,Handcrafted Chair,2351.37,2025-07-31
7173,Baby,Rubber Car,233.62,2025-03-29
3499,Baby,Gorgeous Pizza,1052.78,2025-05-25
36,Baby,Fresh Gloves,1963.07,2024-04-15
5548,Baby,Incredible Wooden Sausages,764.73,2025-01-03
6924,Baby,Metal Cheese,1927.75,2024-02-13
4845,Baby,For repair Car,989.85,2023-12-25
6016,Baby,Incredible Wooden Keyboard,769.64,2023-11-20
7264,Baby,Tasty Pants,287.43,2024-03-16
3614,Baby,Wooden Cheese,2123.83,2023-11-06
7823,Baby,Handcrafted Cotton Keyboard,1453.22,2023-07-02
309,Beauty,For repair Steel Keyboard,674.14,2024-01-06
6845,Beauty,Rubber Computer,1055.26,2024-03-27
1717,Beauty,Rustic Bike,1458.32,2024-05-27
377,Beauty,Refined Towels,182.45,2024-11-19
1520,Beauty,Refined Pizza,970.92,2024-08-18
6851,Beauty,Metal Tuna,1172.76,2023-02-10
2031,Beauty,Small Rubber Chicken,756.5,2024-11-20
8364,Beauty,Fresh Shoes,1602.15,2024-09-15
6504,Beauty,Sleek Ball,864.77,2024-05-18
1926,Beauty,Small Steel Gloves,1634.27,2025-04-12
7545,Beauty,Unbranded Keyboard,293.48,2025-02-08
3407,Beauty,Handmade Chair,1749.57,2023-03-27
1324,Beauty,Frozen Table,1213.13,2023-05-14
2382,Beauty,Fantastic Wooden Soap,1540.02,2024-09-11
2793,Beauty,Steel Soap,1786.96,2023-05-04
9713,Beauty,Sleek Concrete Pants,1413.36,2024-01-30
7584,Beauty,Awesome Towels,1205.38,2024-12-15
8937,Beauty,Soft Computer,1004.33,2024-12-20
5812,Beauty,Handmade Salad,1579.09,2023-04-28
278,Beauty,Sleek Pizza,833.23,2025-02-19
3368,Beauty,Practical Cheese,2425.26,2023-06-22
733,Beauty,For repair Soft Pants,2493.56,2023-11-11
1002,Beauty,Licensed Chicken,901.0,2025-07-16
5297,Beauty,Granite Pants,801.1,2024-12-14
9113,Beauty,Refined Soft Car,559.82,2023-04-27
8564,Beauty,Plastic Soap,499.98,2023-11-27
1346,Beauty,Small Fresh Salad,1165.84,2023-11-20
3239,Beauty,Gorgeous Car,979.07,2024-10-14
2641,Beauty,Cotton Salad,1236.69,2024-03-15
5519,Beauty,Refined Chips,334.91,2025-07-18
4920,Beauty,Gorgeous Soft Bacon,1294.3,2023-04-18
7392,Beauty,Granite Bacon,1334.25,2025-02-13
6691,Beauty,For repair Metal Gloves,1948.95,2023-04-15
3222,Beauty,Generic Ball,1244.28,2024-02-05
7218,Beauty,Plastic Sausages,1488.3,2025-03-22
6692,Beauty,Rustic Ball,70.65,2024-03-13
37,Beauty,Granite Chicken,1256.2,2025-03-12
8535,Beauty,Intelligent Table,223.89,2025-02-19
9597,Beauty,Generic Cheese,305.41,2025-04-07
9018,Beauty,Wooden Shoes,2394.87,2024-09-15
9531,Beauty,Intelligent Tuna,1950.95,2023-01-22
6949,Beauty,Rustic Towels,2451.95,2025-02-06
349,Beauty,Licensed Wooden Chair,2393.7,2023-07-06
5653,Beauty,Used Salad,22.61,2023-05-31
544,Beauty,Sleek Shirt,1425.13,2023-06-30
2875,Beauty,Ergonomic Salad,2334.68,2024-05-16
4395,Beauty,Refined Chair,1999.81,2024-12-08
9530,Beauty,Generic Metal Pizza,1764.07,2023-06-22
9548,Beauty,Concrete Cheese,1761.52,2023-11-14
1582,Books,Wooden Sausages,2301.66,2025-07-28
2491,Books,Plastic Bacon,690.51,2023-08-06
5715,Books,Awesome Steel Bacon,2385.25,2024-02-23
5138,Books,Unbranded Ball,2416.38,2023-10-08
9504,Books,For repair Soap,2405.39,2024-07-27
5394,Books,Frozen Computer,289.58,2024-08-05
1494,Books,Concrete Ball,1644.93,2024-09-13
9791,Books,Licensed Frozen Bacon,280.56,2023-11-28
4753,Books,Awesome Metal Tuna,1710.96,2023-01-27
2722,Books,New Computer,759.69,2023-10-10
6381,Books,Plastic Table,323.52,2024-10-16
4168,Books,Fantastic Wooden Pants,339.6,2025-02-11
2405,Books,Handcrafted Mouse,1205.9,2023-02-04
7606,Books,Ergonomic Soft Tuna,1707.92,2023-08-24
3370,Books,Used Cotton Keyboard,702.38,2023-07-03
9272,Books,Handmade Ball,2177.12,2023-08-10
4906,Books,Sleek Metal Hat,2054.1,2024-07-18
649,Books,Licensed Cheese,921.03,2024-05-05
1080,Books,Rustic Computer,919.7,2025-02-27
7581,Books,Handcrafted Steel Chair,1761.66,2025-01-02
6082,Books,Concrete Computer,1758.36,2025-07-02
2671,Books,Rustic Towels,994.39,2023-04-26
8087,Books,Refined Fresh Bacon,713.16,2025-05-06
927,Books,Metal Shoes,526.83,2025-03-02
5708,Books,Cotton Cheese,371.46,2023-03-21
9773,Books,Fantastic Granite Tuna,2146.43,2023-07-17
534,Books,Ergonomic Gloves,2257.07,2023-08-27
8152,Books,Rustic Chair,1176.02,2023-01-01
1974,Books,Ergonomic Salad,2057.8,2023-10-31
1903,Books,Steel Bike,504.41,2025-06-09
3111,Books,For repair Mouse,408.22,2023-03-20
8857,Books,Gently Used Plastic Car,1172.42,2024-08-08
9363,Books,Used Rubber Bike,1415.3,2025-08-06
2158,Books,Gently Used Concrete Fish,97.23,2023-03-12
9055,Books,Incredible Hat,2345.98,2025-05-29
7219,Books,Handmade Mouse,177.14,2023-08-11
4717,Books,Plastic Ball,2316.03,2024-02-15
240,Books,Intelligent Plastic Soap,802.58,2023-09-20
8613,Books,Handmade Pants,1627.67,2024-07-18
9822,Books,Used Computer,959.4,2024-10-20
9318,Books,Unbranded Fresh Chicken,2455.7,2023-10-21
9927,Books,Handcrafted Chair,577.25,2023-06-24
2483,Books,Handcrafted Concrete Cheese,1864.73,2024-07-14
2493,Books,Fantastic Towels,2267.48,2023-08-25
2997,Books,Wooden Tuna,1066.98,2024-10-25
1692,Clothing,Gently Used Soft Salad,1565.91,2024-07-24
352,Clothing,Rustic Soap,1587.23,2023-06-10
5649,Clothing,Ergonomic Ball,289.92,2023-03-14
918,Clothing,Plastic Keyboard,2149.02,2024-05-17
4136,Clothing,Practical Cotton Salad,1790.4,2024-07-21
968,Clothing,Licensed Cheese,380.87,2023-05-11
4388,Clothing,Handmade Steel Shirt,862.41,2023-05-18
3261,Clothing,Tasty Plastic Cheese,2030.58,2025-04-23
2603,Clothing,Steel Hat,1776.02,2024-12-30
5622,Clothing,Gorgeous Granite Soap,272.55,2023-12-28
9207,Clothing,Soft Mouse,1637.29,2023-06-05
4148,Clothing,Sleek Sausages,8.59,2023-06-18
6124,Clothing,Handcrafted Granite Towels,371.33,2023-07-12
9503,Clothing,Frozen Salad,577.26,2024-02-26
6236,Clothing,Generic Keyboard,1205.24,2023-03-15
2952,Clothing,Plastic Cheese,1973.83,2024-03-27
815,Clothing,Used Table,1035.31,2024-07-01
9807,Clothing,Licensed Steel Gloves,2268.6,2024-03-08
4881,Clothing,Used Steel Cheese,1924.58,2023-04-25
